V10|D25;V25|D25;V50|D25;V75|D25;V100|D25;V10|D50;V25|D50;V50|D50;V75|D50;V100|D50;V10|D75;V25|D75;V50|D75;V75|D75;V100|D75;V10|D99;V25|D99;V50|D99;V75|D99;V100|D99;
75778;1021778;4373112;17559913;40118227;107556;1568845;9048845;34986848;89327833;93378;1848000;12928179;61783830;171572644;194577;2468889;17584846;61858142;211932382;
66489;700089;5202267;19758447;40526449;121734;1322444;11882935;33864849;85745256;147645;1741422;12978046;50624450;141979707;145200;2434179;21474448;79733388;183111401;
57689;632133;4917245;18500047;67006142;88489;1919378;11041068;29679470;87078944;140311;1945290;14490669;45820628;124179260;142266;2028889;28691426;57088052;203677981;
51334;758755;5266311;19853291;41667516;70400;1648533;14092224;30699782;90937745;116844;1761956;15917247;47882273;128730327;111466;2024001;19318935;67111253;210078516;
53289;1036444;4928001;22932314;39550139;109022;1352267;11879513;33900538;82523477;134444;2810134;15838535;48736851;124535660;115867;1933067;23373781;69626098;200327625;
151556;654623;4451334;23237380;39601471;98756;1358133;9003379;29933204;113782548;144222;1711111;16603647;59153607;132183350;110978;2177023;18942980;66966052;176348601;
53289;709378;4793556;17925603;42355873;117333;1191911;8643068;30459249;91571833;164756;1579600;13145246;44880983;140855262;185289;2899111;16434491;71673076;186741401;
73333;875600;5066845;17968624;45915962;107067;1106845;10451957;33418004;78298499;159866;1668578;14984935;55037162;133227128;110978;3350845;18722491;71509786;168873977;
54755;820845;5819245;17798002;44802762;84578;1167956;10905646;41714938;82817789;88000;1662223;13079246;46980761;133900328;200933;2135956;18420847;64460986;165378421;
66489;784667;4981778;16819246;41184983;65022;1156711;10863113;36997649;82654499;137378;1570312;16378758;50604896;125076372;174044;2211734;20312358;69702853;224817050;
49866;744089;5346489;16267291;37667427;90934;1452490;10939868;40015072;81068054;171600;2034266;13136935;49910673;164563443;186756;2443956;17643024;61683608;192536691;
58666;656578;5233556;17361425;39578494;121733;1059911;10219246;43257872;84290322;114400;1759022;12549779;50316451;117455082;169156;2505067;18127024;70614143;195889980;
56222;975334;5660356;18261469;41072538;108534;1150356;10761913;32071604;90687434;130533;1665645;13250847;54490584;136505617;120267;2296312;17772580;60410541;189021091;
47912;749956;4821911;18717603;61450408;67466;1051600;11643868;38793338;87077966;100222;1530711;12760490;47715561;133365483;147645;2952889;16903336;59921652;183705890;
