V10|D25;V25|D25;V50|D25;V75|D25;V100|D25;V10|D50;V25|D50;V50|D50;V75|D50;V100|D50;V10|D75;V25|D75;V50|D75;V75|D75;V100|D75;V10|D99;V25|D99;V50|D99;V75|D99;V100|D99;
77245;1339555;7840312;21288669;47624629;99244;2396534;11707424;34628983;94273434;129067;2633645;15857113;66179920;130703483;157911;2189245;20231691;117411082;162307710;
77245;1080445;6108179;20715203;54460763;88978;1247645;10514045;44559294;97364679;118311;1784444;17422535;47218362;117474148;141289;2605778;18495158;58199296;144678863;
66489;885378;6640578;22955781;51184718;111955;1597201;10788802;37312982;97664368;133955;1654400;15768136;51631562;118943259;161822;2138889;20798314;59088096;148605130;
73822;1028134;6403467;20485914;47713606;87023;1338578;14460847;36580138;93375345;132000;1656355;21329247;48524184;110972414;148622;2392134;27722937;62114808;134413661;
105600;1596223;7541112;20294758;47997650;82622;1669067;13549557;37133072;96201612;122222;1869023;13684980;49287828;118059837;181378;2904489;19194758;59635652;135929217;
71378;933778;6913867;20787558;51634007;126133;1294578;11557335;34953116;107528192;144222;1682267;13969024;46480628;114762770;160844;3294623;22068447;61108185;138390773;
78711;876089;7061512;25763470;47826050;139823;1183600;13521202;34294094;90956811;182844;1851911;13978313;52472940;113527348;145689;2083644;16909691;59488985;153048153;
68933;969956;6433779;19991647;46921117;96311;1660756;10366890;35384316;91746857;121733;1766844;16007691;49943917;111714548;171600;2279690;18467291;60619297;133190950;
437067;993423;6033378;19722269;47261384;91422;1497956;10912979;35237160;114821437;151066;1931601;13680091;47919428;109078458;144223;2160400;17277825;62517164;139206729;
67955;1055511;7243379;20490803;48151650;94845;1305822;10195779;33982182;99264502;127600;2022534;15794535;46742184;128822238;160355;3315645;21321914;56178229;136183440;
63556;1020801;6443068;19899736;45308272;113912;1726267;11887823;37510983;100513612;200933;1648044;14953157;45923783;123992993;169644;2101734;19001158;61232853;134318328;
68445;947956;6755468;21813736;48629295;187245;1589378;10450979;35901560;97813968;118800;2339823;14902313;53027829;117455571;225867;2348134;19768714;61396141;139497129;
54756;940134;7191556;19876269;46325161;91422;1480845;10657291;37070004;92246990;119777;1920845;16963469;45951162;116077881;232711;2792045;23668581;56750719;135426639;
72356;950401;7388090;24190225;62105519;94356;1247156;10690534;34113693;97724012;147644;2031823;16509291;48095428;122989304;187245;2441511;23966315;63967208;135812861;
88000;973867;11814491;18982092;47219828;88978;1569823;10141512;43345383;105457746;124178;1895422;15438624;46929428;118574148;230267;2266000;29125560;57236674;139503973;
60134;834045;8515468;19760403;50487562;102666;1547333;11927913;34750227;92424945;155467;2312933;13883957;54929118;127577038;209734;2640489;18316224;57421474;140913929;
69911;1060400;8183512;20497158;49456495;113911;1555156;10917379;36159205;99502101;1662223;2302178;14271157;49245784;116659170;154489;2080712;21128802;58083430;135637351;
61600;1094133;6260711;19486625;49802628;89467;1655867;10877291;45223695;104859347;156934;2046489;13373069;60891608;113004725;142267;2226889;19030491;56996141;148003307;
61111;894667;7132401;21726714;54916407;76756;1451022;10307734;35038671;85529167;157911;2436622;15397557;55476185;110611125;170622;2103689;21891958;69842187;134791572;
70889;1110267;7027290;20255647;46224939;106089;1655378;12174312;33918627;78414365;153022;2737289;13774935;63772630;115359703;148133;2049912;17295914;61139474;150123619;
66978;925956;6888445;21899292;46728495;92400;2116889;10445601;36628049;84063966;128578;1755111;14334713;60342096;118984326;273778;2917689;25435425;58968319;138286151;
68933;1015911;7113335;23093159;50423029;101689;1620178;9893646;39694849;81987655;113911;2026933;14006180;53697118;122010060;268889;2558845;24516803;58661785;147572108;
