V10|D25;V25|D25;V50|D25;V75|D25;V100|D25;V10|D50;V25|D50;V50|D50;V75|D50;V100|D50;V10|D75;V25|D75;V50|D75;V75|D75;V100|D75;V10|D99;V25|D99;V50|D99;V75|D99;V100|D99;
44978;157423;461512;1001733;1686667;38133;225378;476666;1201689;2504578;37645;228800;608178;1842622;3434934;51822;372533;1131778;2476222;4646890;
30800;148623;426311;681511;1802045;36178;234666;530444;1515556;2782267;43511;201911;884400;1771734;3169468;42044;292845;748000;3297556;6207912;
32267;120267;473733;928400;1615289;34222;170134;440001;1253022;2179467;46444;208267;825734;1677378;2983689;35200;185777;1296045;2958267;4244045;
37156;181866;317777;903466;1502356;33734;146667;471778;1183600;2158933;32756;167200;810578;1713067;4402445;51333;309466;792000;2618489;4303201;
33733;179911;389644;987555;1674933;45955;207289;698134;1572756;3233023;42045;172577;1079955;1906178;3261378;48889;297245;1106356;2163334;5145556;
35200;129555;319245;1026666;1268178;45467;142755;486445;1788845;2143289;53778;214133;800311;1719911;3322489;40089;237600;1218801;3380178;5652045;
37155;140311;403823;898089;1981956;36177;219022;603289;1151333;3257467;45467;235645;861911;1708178;3196356;56222;209244;860933;2032311;4336934;
36667;154978;948444;912756;1351289;39111;164756;485467;1145467;2803779;42044;204844;966534;1389422;2924045;51822;186266;807156;2626312;4954401;
44000;125156;436089;930356;1290178;38622;321200;462000;1056489;1959955;45955;258623;888800;1502356;3865156;46444;189689;792000;2292889;5898934;
44488;148623;338800;801778;1377689;41066;146667;676623;1466178;2101245;44978;198000;1065778;1576178;3122534;45467;192133;731378;2209289;5930222;
38133;119778;438534;722089;1368889;35200;223911;675156;1098534;2232267;45466;257644;1501378;2286533;3237423;42045;181378;1025200;2763201;5270223;
32267;105600;486933;715244;1232000;37644;139334;621866;1141556;2650756;40578;246889;765111;1592800;3176312;50355;175511;1012978;2901067;5530311;
30800;155955;479111;722578;1464711;35689;197511;481556;1122978;2308534;44489;240045;662933;1448577;4437156;42533;191155;1006134;2694267;4557423;
55733;132977;533378;831600;1482311;51334;194089;550978;1017378;2139867;51823;286000;718667;2157956;3070711;39600;181866;839911;2351067;5663290;
33733;100711;325600;741156;1330267;41066;176489;675645;1236889;2642934;48400;309955;913734;1696445;3599200;53778;281111;700577;2853645;6289067;
32266;135911;342711;749956;1435866;37155;171600;499645;1213911;2049422;45466;214622;639467;1669066;3081956;50356;213644;1158667;2265023;4286578;
23956;178934;460534;834044;1474001;37156;159867;452712;1271111;2547600;64045;235645;829156;2195600;3078533;61600;187734;1034489;2509956;5816801;
42533;139822;351511;936222;1890045;30800;210222;489378;1219778;2207334;42533;203378;607200;1374267;3123512;52311;197511;902489;2774445;4938267;
33245;134444;398933;721111;1643645;50356;221467;462489;1060889;2781778;47422;220489;750445;1847023;2985156;42533;208756;892222;2383334;4492890;
44000;163778;388666;729423;1331245;40089;183822;522623;1065778;2036712;46934;259111;737245;1998089;3426622;44978;207289;1012000;2863911;4244533;
39600;155955;341734;671245;1263778;35200;218045;463956;1347867;2493823;40089;198489;985600;1647067;3582090;43022;204355;826223;2197067;5228667;
29822;122222;342222;712800;1431956;47911;187733;553422;1104400;2766623;35689;250800;858978;1676889;3084889;64044;219511;1154756;2854622;4158978;
40089;154000;482044;682978;1365955;45467;168667;458089;1055022;2294844;39111;184311;969467;1584490;3073156;46444;179911;833556;2614089;4341334;
30800;139333;449289;689822;1342000;35689;190667;714267;1495511;2000534;38133;198977;906400;1568845;3372356;46934;269378;737734;2340311;5801645;
