V10|D25;V25|D25;V50|D25;V75|D25;V100|D25;V10|D50;V25|D50;V50|D50;V75|D50;V100|D50;V10|D75;V25|D75;V50|D75;V75|D75;V100|D75;V10|D99;V25|D99;V50|D99;V75|D99;V100|D99;
97288;137867;414578;987556;1612844;41556;222445;478622;1339067;2522178;46933;229289;605245;1765867;3443734;59644;322178;946489;2090000;3500933;
44000;131511;507956;802756;1650978;50355;176489;594000;1467645;2996401;47911;220978;741155;1587912;2932356;49867;189200;689822;2571067;7724445;
40577;173066;360800;1217823;1416800;42044;171600;636045;1296045;2254267;54267;323644;764134;1717466;2765156;44489;242978;986090;2543689;4055334;
47911;160356;522134;869245;1577644;40089;175022;727955;1017378;2165778;75777;176000;754845;1581555;3062889;50845;242489;944044;2408755;5045822;
41555;158889;383289;1136178;1467645;44978;172578;672222;1410934;2872711;49378;246400;1238845;1547334;3182667;53289;262045;905422;2104667;4125245;
42533;137867;486445;949422;1363511;55733;157422;615022;1512133;2166267;60133;193600;717200;1604533;2909867;50356;243955;1037423;2674222;5285378;
40089;135911;554401;857511;1809378;41556;167200;614533;1255956;2288489;50355;215111;791512;1523867;3195867;58667;227333;1048667;2010311;3749778;
45955;145200;440000;870222;1319512;53778;167200;756311;1088267;2472801;44000;208756;873156;1591333;2801822;58667;224400;1005644;2697690;4520756;
64045;136400;479600;937200;1235911;49866;187245;587156;1159645;2087067;53289;220000;787111;1601111;3837290;51333;222444;879511;2056756;4030889;
207778;142267;427778;860933;1628489;41556;186267;592534;1284801;2010800;51822;203377;798845;1709156;2841911;51822;206800;883422;2107112;4367245;
40578;121733;412134;909822;1422667;45955;192133;644355;1107823;2096356;52311;226356;1036445;1758534;2982222;48889;206800;856044;2646356;4676712;
45467;153511;457600;764133;1734578;48889;189200;634089;1303378;2490889;63066;218534;941601;1514089;2959245;54755;199956;1071645;2230312;5178801;
36178;141778;598889;762666;1477911;41067;187733;594489;1046222;2293378;48889;202400;923022;1418267;3349378;50356;262044;961644;1919378;4402445;
39111;132489;463467;979733;1558089;56712;185778;524089;1043289;2032800;62089;348089;781244;1883689;3041867;49377;188222;772933;2049423;5135778;
