V10|D25;V25|D25;V50|D25;V75|D25;V100|D25;V10|D50;V25|D50;V50|D50;V75|D50;V100|D50;V10|D75;V25|D75;V50|D75;V75|D75;V100|D75;V10|D99;V25|D99;V50|D99;V75|D99;V100|D99;
85066;442933;1038400;2585245;6849823;85555;688845;1570311;3458401;8041246;167689;820844;2249867;4018178;9916624;185289;984133;2701112;5693112;10731601;
386711;357377;1327823;2262089;7433067;123689;601333;1516045;4072445;7346535;120266;491334;2681067;5246268;9306490;244934;783689;2232756;6876223;10344401;
97778;547066;2031333;3404134;9300624;118800;406756;1737022;3811378;6171245;183333;639467;2132045;5473112;9323112;204356;733333;3339600;5140178;8046134;
84089;465911;1934533;9462935;5913601;104134;777334;2419512;3678890;5086889;202889;553422;1847512;6862534;12826490;160356;552933;2928934;8800490;8638178;
81156;443911;2563245;5039467;4656667;93378;607689;2069467;4189289;5805557;114889;562711;2040623;4108623;7708312;134933;763644;3425156;4964667;7860356;
143734;403822;2947511;7469245;4422001;88489;454666;2186312;3609956;5163157;206311;1194845;2486490;6744223;8840579;191156;999289;3108844;5320578;9785601;
65512;356400;2807689;2399467;4718756;141289;637022;2222490;3765911;5705823;169155;966044;1647067;4074889;8250979;198489;694223;3458889;6132134;7732268;
86534;320222;2324179;2621912;3985912;103156;533377;2474756;3443734;5588489;139334;970445;3456445;6841023;7819779;187734;868267;2546134;5370445;9338268;
161822;664888;939155;3190490;5309334;131023;690311;1841645;3417334;7060534;136889;502578;3056534;5362134;14018402;156445;881466;3014001;5151912;7699512;
96311;336844;1224178;2530000;4810178;120267;695689;1422667;3464756;6119423;223422;1454933;2321245;4354534;9864802;149600;1002222;2830667;4888401;9408668;
67956;327067;1077511;3498978;4825823;184801;779289;1662222;3140623;6814135;130044;858000;2620445;3882756;8089645;127600;789556;2890800;5084934;9708846;
83600;405778;1319023;2510445;4060222;112444;726978;2785689;3323956;4585778;100711;919600;2896178;4354533;10838179;172577;778312;2225423;5221334;11320713;
129067;404311;1262312;2522178;4680623;140800;616000;2218578;4287067;6908490;128578;1000756;2093912;4415156;10415290;142755;561733;2183867;5397823;9572445;
