V10|D25;V25|D25;V50|D25;V75|D25;V100|D25;V10|D50;V25|D50;V50|D50;V75|D50;V100|D50;V10|D75;V25|D75;V50|D75;V75|D75;V100|D75;V10|D99;V25|D99;V50|D99;V75|D99;V100|D99;
106089;513333;950889;1913022;4287068;69422;492800;1328800;3051156;7434046;114889;686400;1630934;3529289;7240446;153511;1020311;2263555;3982001;7210135;
75778;311911;996845;1785423;7927823;94355;570045;1262312;3239867;4856134;107067;646800;2719689;4712400;7797290;146178;653155;2480623;5013557;9687824;
75778;387200;1493555;2374533;14045291;89466;420445;1616267;2936756;5156312;133956;467378;1843601;3828978;7797779;146178;551467;2306578;3872490;7341645;
67466;307022;1380133;4419067;9604712;78711;510889;1935022;3181201;4223512;127600;606222;1493067;4813112;7830045;135911;634089;2665911;7731290;6921690;
83111;291378;1148401;4725111;2936756;76756;861911;2068000;2851689;4602889;128089;680534;1746311;3522445;7814401;133956;682489;3035511;3897423;6536934;
187734;275244;1498445;2890801;2954844;103644;354445;1541956;2727511;4221067;149111;680534;2078756;4927023;8226045;133956;687867;2558356;4730978;7446756;
61600;239067;1850934;2210756;5026757;109512;432667;1972667;3286801;4307112;172578;524089;1566889;3291200;6111112;143244;836978;3029156;4184889;6564312;
95823;504044;1415823;2056756;3599201;88978;693734;2129600;2899111;4382401;123200;743601;2535867;5439379;7271245;127600;738223;2063111;4503645;7439912;
66000;386222;1034489;2064089;4810667;89467;537777;1374267;2907911;6076890;119778;624312;2355956;4257733;8014356;121244;2706000;2012755;5096667;7143645;
86533;318267;917156;2146222;3724356;81644;509422;1390889;2546623;5337201;159866;483511;1584489;3464756;7145601;124667;711822;2070444;4216667;7830534;
62089;225867;812045;2176533;3322489;121734;494755;1499422;2704534;5844179;106089;604755;2212223;3347423;8319912;131511;923023;2288489;3912578;8525734;
191156;292355;965067;1738978;3433467;93866;739200;2528534;2648312;3930179;100222;981689;2618000;3486267;6867912;117334;1043778;2112489;4542756;9465378;
75777;295777;771467;2008355;3260400;104622;641422;1755111;2477689;5338667;91422;701067;2530489;3347422;9103601;153511;443422;1857289;4761778;8461690;
106578;276222;1059422;2157467;3293645;98756;1166000;1238845;2606267;4576001;127111;559777;2532445;3485289;7453601;135911;558311;1996133;4584311;7146579;
58178;387689;945022;1741423;3127911;88000;668800;1220267;2623379;3906223;118801;828178;2291422;3518045;7157823;142267;720134;2384800;4085645;8254402;
71377;243467;879022;1847511;3261867;83600;515778;1410444;2781289;5834401;186755;521156;2803289;4009378;6830757;143733;768533;2134978;4887422;7171023;
70888;347600;1016889;1806934;4171690;86533;709867;1146444;3025734;4597023;109022;721600;2023511;4053867;7132400;143734;700089;2113467;4301734;8509113;
77244;238578;974844;2038178;3891556;105111;905911;1562000;2855600;3718979;96311;775378;2131067;3850978;7083023;154000;856533;1884667;4898668;8572179;
60622;284044;1604045;2063600;2786667;121734;594978;1336134;2428312;5482401;122223;438533;1975111;3754667;7843734;124666;716223;1905200;4910401;7386623;
122222;349066;1606978;2471822;2922579;120755;548045;1259378;2905956;7330889;111956;593511;1810845;5042889;6240178;137866;704000;2745601;3980045;7461424;
98755;296267;1427067;2149156;3834356;89956;508934;1459334;2596000;4161911;119289;765111;1610401;3102978;6880623;127600;780756;2200000;3893512;7630090;
62089;347600;1318045;2072889;3581601;93867;563200;1420222;3366000;4522223;112444;637022;2241067;4148223;6739823;154489;622355;2250844;4548623;9006313;
87022;419956;1252534;2314401;4019156;76756;638489;1363511;2572044;4370178;138355;439511;1770756;3654934;7159779;126133;606712;1963867;4340356;7733246;
271334;275244;1147423;2267467;3457911;82623;384267;1391378;2886400;5129422;130045;505511;1524845;4103734;6352623;127600;957245;1784444;4767645;7329423;
69422;354445;1631422;2626311;3569867;85067;413600;1400178;2507023;4257734;157912;453689;2576444;3938001;6254845;136889;860933;1978045;4956356;7171023;
52800;400889;1125911;1999556;4395111;128089;472267;1420222;2403378;4404890;117822;609644;1836756;4265067;6430846;156445;695689;2066534;3941423;7525957;
66489;373023;1435378;1992711;3229112;151555;441466;1667601;2317823;5049734;302622;612578;1813778;3149423;5780623;138845;514800;2672756;4474311;9691246;
63066;525067;1109778;1876356;3469645;131512;3555201;1909600;2506044;4706045;149112;597422;1675422;3268712;6272934;225866;770978;2434178;5564534;11532890;
59645;282089;1027155;1739955;3499467;122222;436578;1734578;3523911;4178045;136889;557823;1936978;3638311;6196667;148622;595467;1834800;4832668;9748935;
56222;476667;1155245;1745822;3703334;110000;627733;1215867;2595023;4156534;95823;465422;1334667;4156534;6007957;243955;892711;2989067;4172178;10129779;
68933;242000;873155;3034045;3396800;98267;457112;1605022;3117156;4053868;119778;463467;1709644;3452534;7476578;148622;625289;1999556;5610001;7157335;
73822;403333;1101955;1899333;4694312;106089;454666;1225645;4022579;7504934;118800;628711;1865600;4473823;6492934;227334;738222;2306089;4704090;8084267;
55733;347111;1395289;2348134;3677912;137867;502089;1401645;4588712;4585289;143244;642400;1597689;4361379;5772801;157912;668311;2019601;3679379;10346357;
66000;745556;1053555;2885422;3476000;96311;435600;1545378;2400933;4009867;115867;561733;1974134;3888134;5859823;117334;671244;2433200;4089067;8551645;
80666;412623;1029111;2173112;4112534;133467;572000;1782000;2604311;4166312;150089;745556;1853867;3596756;6264623;122223;852622;2556400;4474800;8018268;
64534;402355;1001734;1934045;3878845;96311;1751689;1401645;3999111;4621467;127600;697645;2094400;3442756;5758134;198977;845289;2697200;4290490;7966934;
86045;742134;959689;1829423;2846312;134933;485467;1445156;3262845;4419067;110000;424356;1604533;3573289;6665023;167689;749467;1909112;4079289;8295468;
75778;398445;1064800;2389689;4146756;90934;406266;1368889;2667378;4299289;208756;615023;5199823;4765200;6569201;171600;686889;2289467;4128667;9446801;
78222;368133;917645;2670800;2717733;98755;322178;1192889;2644889;4463067;135422;444889;1606000;4068045;5942934;136400;756312;1943822;4352578;8440179;
78712;341245;951378;1640223;3542000;89467;509911;1486711;2858045;4369201;146178;728934;1628978;3437379;6131645;2609201;647289;2184845;4158490;10440224;
66000;437555;762178;2155023;3585511;100711;538267;1762933;2366712;4294401;154977;447822;1789823;4687467;5727334;145689;606223;1806934;4646401;7627645;
72845;337333;1265245;1706223;4403912;1749245;418000;1329289;2707467;5699467;210711;625778;1935511;3635378;5638845;334889;947467;2323689;3852933;8652356;
133467;314356;905422;1838223;3818223;98756;442444;1287733;2589156;4105689;123689;531911;1748267;3439823;7305468;232712;674178;1958489;4798934;8547735;
63067;359334;914711;1744356;2673245;112934;520667;1353734;2372578;7127024;168667;498178;1536578;4019156;5829512;139822;653156;2271867;4687957;8470001;
60623;384266;1045245;1846045;2855111;123689;591556;1129333;3128890;4319823;128089;437067;1457378;4326178;6532534;194088;742622;2023023;3896934;9978712;
114889;222933;1250090;2516800;2969023;246889;575422;1357645;2433689;3840223;157422;622355;1442223;4986667;7968889;165733;841378;1994178;3800623;9475646;
73822;406267;1055022;1871956;3314178;107067;478623;2135467;2882978;5329868;140311;683467;1635822;3375290;6048534;219511;716712;2715289;4025511;7480000;
70889;481556;1128844;2520711;3395334;113422;568577;2015200;2442000;4794045;157422;460533;1667600;5126490;5523957;119778;1069200;2957778;4334001;8688535;
70889;434622;832089;2178000;4124268;103156;356400;1204622;2432711;5274134;111466;605244;2320756;6183468;5300045;160356;721600;1839689;4034312;9853068;
81645;289422;1144978;1560045;3256978;100222;543155;1936000;2526578;4091512;127111;661955;1935022;3324445;5490712;168178;594000;1909112;4791600;11559779;
77244;324133;917645;2201956;3910133;86534;498667;1649512;2984667;4669867;108533;1258889;2463022;4165823;5961512;182844;598400;2338356;4349156;7586579;
90445;440489;1263778;2076311;3379200;107066;383778;1168934;2332978;5152890;145689;466400;1860711;4797956;5989867;116355;619911;1821600;4438623;7406667;
63066;334400;971912;1940400;2769067;93378;368133;1300445;4157512;4642001;120267;851645;1969734;3703334;6627868;143733;499645;1800089;4723645;6861557;
83111;278666;1388934;2035245;3410978;113422;500133;1590844;2979779;5474578;109022;765600;1545867;3380178;6521779;215600;808622;2248400;4771067;7068357;
128089;299200;834044;1986355;3364045;81645;656089;1246667;2892755;4299290;147155;480578;1697423;4620001;8069112;136400;729911;3391423;3875423;8389823;
63556;319733;1071156;2351556;3261378;92400;507467;2357911;3165556;4142845;115378;836489;1419733;4659112;6297378;131511;704000;1960445;3846578;8367823;
80178;380844;1008577;2801334;3645156;82133;463955;1411911;2431733;4409290;159867;583245;1834311;5250667;7062979;124178;731378;1937955;4816045;6650356;
72844;302622;923023;1895912;2941155;114400;422400;1327334;2804267;7262446;124666;560267;2875645;4708001;7784090;123689;752400;2110534;5979601;7428178;
76267;434134;1015911;2430267;4053867;90444;546089;1584978;2809645;4365290;160844;486933;1701333;3829467;7705867;112934;548533;1808401;5152890;7468268;
64533;420933;1211467;2344712;3027201;113422;441467;1706222;2662978;4473823;116844;469333;1656845;3760045;7369023;127600;642889;2331512;4324711;8685601;
83600;456134;1469600;2694756;3762489;158889;503066;1386978;2939200;4589200;122711;375466;2140356;5211068;6341868;213645;503556;2052845;4361379;8509601;
67467;384266;988533;2003956;5704845;96800;484977;1876844;2752934;5574311;167689;567600;2284578;3158712;6842978;122712;666844;1907645;4782312;7319646;
66488;342222;787111;2096844;3183645;120267;535333;1519955;2357423;5275112;132489;1069200;1679822;4647867;6609779;111466;564667;2995423;6474356;7292757;
111467;328044;902000;1847022;3498000;90445;452711;1371823;3386045;5414934;134445;551956;1954578;5315690;5838800;131023;572978;2078267;4588712;7396890;
69911;406755;1279911;1680800;3346444;150578;465911;1285778;2782267;4343778;136889;643867;1829912;5950757;6158045;163778;791022;2046489;6408357;8673378;
88000;438044;878045;1741911;3452534;66489;441467;1082401;2667378;3905245;132489;544622;1835290;3965867;6065645;154978;686400;1927690;4028933;6484134;
61600;427778;975823;2062623;3163600;110978;651689;1474001;3106889;3947779;160356;547067;1819156;3781067;5587023;110000;719644;1937956;4009868;8793157;
69911;276222;1914000;2008845;3591867;77244;586667;1389911;2804756;4574045;157912;471778;8204534;4127201;7105023;163289;814000;2028889;5489734;8450934;
74311;342712;820845;2445911;3358667;144711;640444;1380133;3038933;4812622;135911;618444;2428311;5664757;8046134;137377;767067;2120800;3764934;8375156;
83112;471289;841378;2001022;3331778;96800;438044;1213422;2448356;4764711;142755;491823;2093911;3398267;6615156;134444;595466;2201467;4115467;7055157;
66978;311422;862401;2050889;2990045;103156;488889;1777601;2992489;4931423;108533;690311;2207334;4464045;6577512;152534;579822;2892267;4689911;6827334;
70400;396000;945023;3296578;3714578;97289;730888;1409467;3068756;6518845;101689;526045;2036711;4482623;5898934;147644;620889;1960444;4142356;9166667;
82133;321689;859467;2416578;2693289;79689;358356;1306311;3839734;4554490;132489;444400;1674934;4343289;5944889;179422;590578;2201467;4497778;7217467;
79689;343200;931334;2992001;3935067;98267;637512;1507733;2758312;5653512;184800;550489;2652223;3599201;5459912;154000;741155;2241555;4347201;8763335;
98756;319244;929867;1672489;3644667;100711;382311;1717956;2721156;4276800;107555;685911;1997111;4490445;7069823;179422;684933;2117378;4438622;7171512;
77733;310934;1241777;1643156;2989555;102667;624311;1260356;2461556;4760311;122711;684444;1694001;3682312;6331601;124178;826223;1979511;3964889;7263423;
82133;413112;1239822;1955067;3249156;106578;481556;1260845;2406800;4464534;99244;773422;1801556;4295867;5479467;146178;779289;2009822;5476534;7773334;
72355;415556;1038400;2359378;3739511;88978;385734;1291156;3110801;5138712;113422;404311;2818934;4819956;6062223;131511;668311;2028400;3584534;7525468;
68934;295777;880978;1953111;3290223;92889;324622;1752667;2268445;4844890;215111;450756;1654890;5973734;6456756;113422;614533;2706978;4861512;8075956;
97778;373511;1311689;1973645;3002756;101689;702044;1476445;2400934;4263601;113911;512356;2099778;5183690;8935423;169155;550489;1888089;3945334;7356312;
68934;338311;919111;1971200;4863468;88489;475689;1271600;2379423;4285111;116844;646311;2249378;5303957;6852756;147644;841378;2052356;5147512;7117734;
117334;367155;918622;1737023;3635867;90934;417511;1293111;2455689;4983245;210223;697645;1956045;4043111;5412001;124667;1095600;2691823;4338890;9398401;
77244;388667;1057956;1601601;3133778;101200;655112;1565423;2822845;4466001;128089;505512;1658311;4202978;5678934;138356;671733;2125689;4213734;7243868;
94356;484978;1147422;2433200;3556178;90445;411155;1259378;2770533;4301245;111955;437555;2220044;4614134;7072756;126134;533378;2051379;4566711;6872312;
79689;790044;1027644;2741200;3193912;175511;639467;1383067;3559112;4710445;194089;609156;1560534;4352578;5571868;112444;448800;1890045;4392179;9508890;
80178;324133;879023;2025467;2642445;118311;567600;1302400;2603823;5522978;83111;527022;2163823;4450845;6030934;146178;608667;2035734;3965378;7512268;
74311;321689;1150355;2244978;4416623;85556;380355;1941378;3060934;4407334;102667;430222;2440534;3968312;8491513;111466;451244;2081200;5580667;8215779;
73822;541201;766089;1730178;2759289;93866;569556;1861200;3242800;3923334;137867;470800;2074844;3528800;6711956;164266;799333;1811823;4122311;6900668;
71866;526045;1167956;2257201;3443734;125156;836489;1876356;3051644;5428134;171112;489867;1867556;4289023;6318401;155956;695689;1796667;4245023;7284934;
95822;330489;897111;1778089;2885911;84577;390623;1586445;3072178;4951467;155467;431689;1742889;4143334;5504889;168667;674178;2012756;4251378;7380267;
89467;340756;815467;2492844;3093201;95823;682000;1729201;3432979;4316400;178445;485466;2883956;4296845;6623468;162800;520178;1900311;3739023;6324267;
