V10|D25;V25|D25;V50|D25;V75|D25;V100|D25;V10|D50;V25|D50;V50|D50;V75|D50;V100|D50;V10|D75;V25|D75;V50|D75;V75|D75;V100|D75;V10|D99;V25|D99;V50|D99;V75|D99;V100|D99;
69423;691289;4105201;6542801;13926001;121733;1106356;5477512;17017735;39116494;221467;1767823;10693957;23372803;50275873;229778;2595022;11799335;44504050;69300986;
78711;1008089;4668400;6366800;14022313;119289;1118089;6296400;19034891;37482627;306534;2051867;9533334;21582981;44069428;397956;2336889;11574935;32211915;59582852;
97777;748978;5284890;6570667;16257024;173067;8877734;7842267;13325157;41792672;216089;2187778;8643068;23132759;42134405;320222;2449823;13357424;30588315;63930541;
67466;682000;4172667;6619557;13293869;138845;1415822;6803867;14495069;31451692;236133;1761956;10972135;29611026;46463028;263022;2525600;15594580;34938448;56738496;
61600;686889;4303690;6287601;13022046;192622;1112711;6652800;14865646;33290893;219023;1889067;9050313;30555559;41268094;241511;2788622;14017913;30966226;58549829;
85067;749956;4323734;6165378;11981201;185778;1146445;5540578;17138980;31615959;263511;1809867;8752090;22223425;42342672;404311;2648311;14478446;28864981;80247699;
78222;628711;3483334;7720535;15295379;173556;1638755;6202534;15601424;29733248;297733;2091467;11357379;22682491;46396540;440000;3580623;18574358;33567604;63120941;
74311;964089;3153822;7620801;13270401;180889;1056978;5596312;18084981;33225382;244444;2290933;11511379;22145203;41760405;316800;3899378;11934757;33275737;59423474;
80667;687378;3538578;6507112;13912313;166223;1437334;5933645;17455291;33041071;174534;1878312;8999468;24984670;42429694;278178;4423956;11898579;31070360;55895651;
94355;707911;3991289;8867468;12519469;118800;1769778;5699957;20243425;32482759;222933;1759512;8800001;24510936;53541162;285512;3198312;11636535;31156892;57882007;
96311;721600;3059467;12916446;13234224;113422;1408978;5577245;16267780;34106849;212667;1917911;9042979;21923737;44942584;237111;2486490;13345202;32627959;62579252;
65512;558311;5395378;7511289;12595246;165244;2008355;5603156;16256535;30535515;206800;1717956;10731601;25531737;43949162;284045;2583778;13104668;31039071;64657519;
84578;562223;2641956;6968134;12988313;209733;1144489;6027023;22019559;29030715;265955;1689600;9667779;22632625;50155606;307022;2234222;11812535;30991159;58586497;
66000;633111;3474533;6710978;14068268;140800;1296534;5835379;17624936;28607337;234667;1759023;8638179;35317827;43146405;271334;2250356;12531202;29761115;56794718;
93866;620400;3271644;8191824;13607246;181378;1079467;8327245;14838757;28263648;293333;1807911;9352934;26836092;49899918;412134;3974178;12616268;30948626;56384541;
94844;609644;3805022;6328179;14654936;126622;1192889;6067600;19148313;32630893;239067;2050889;8591246;24653692;53206274;434133;2248889;12425113;30945693;59596541;
330489;619911;4108623;7881379;13504579;134934;1108311;5822667;14796713;54543874;294800;1870978;8563867;21496447;45893962;288445;2933334;11751424;34101960;68371608;
107556;580312;3672045;7228223;17427425;156933;1304845;5463334;15775958;34091204;237111;1753156;9018534;26932403;41930050;298222;4180001;12328802;45106361;57932362;
100711;577378;2702090;6572623;14189513;212667;1095600;5764978;14279469;30194271;217555;1805956;8377112;23212936;49433517;401377;2558356;11692757;33366671;57314896;
81156;569067;2817956;6625423;12645112;125156;1096578;5511245;15603868;29553826;233200;2000044;8620090;24202936;42803205;288445;2520711;11632134;34228582;72531076;
93378;600355;3148444;6770623;14425646;191644;1198266;5675512;14643691;32759960;227333;2679600;9231202;22145692;42585161;400400;2441023;12375735;29718582;61179074;
95334;618445;2885422;6798001;14374313;127600;1103911;6253868;14325424;35285561;317778;5652534;8711023;25179248;42556316;447823;3014001;14250624;32535560;56325385;
89956;1052577;3186090;6552579;13013246;111467;1212445;6086668;14364536;34019826;266934;2460089;10633823;27437426;43159116;403822;3042845;13971469;30604449;63032942;
74800;607689;3041378;7446267;14045290;133467;1107822;5272179;15275824;30062271;299689;2563734;8938357;22304091;44729917;243466;2358889;11755823;30421604;60661830;
97778;616489;2644400;6649378;12446135;111956;1110756;10070623;13233735;30496404;216577;1800089;10510624;25784492;43775117;246400;3174356;11908357;30552626;64340719;
81156;544134;2930889;6751067;12980979;119778;1108311;7328934;14111780;34501382;298222;1855822;13008357;21616714;43120005;250311;2382845;13482579;29979159;62952763;
74311;664889;2648312;7966934;13086090;127600;1258400;5764979;13907912;32723782;256667;1750223;8628401;23378670;44287472;276712;2412178;14365024;30754049;60935119;
77245;624800;2845334;7181779;12954579;142266;1182134;5693112;14560091;32364449;178444;1747289;8737423;25195381;44677116;296266;3128400;13295824;31551915;57436141;
92400;573956;4323734;6622001;12609424;115378;1156711;5462357;13884446;29968893;337333;1715022;11075779;24523158;42975784;242977;3715067;12642180;31095292;65440719;
80667;567111;3902312;7430623;18610535;126133;1108800;6847379;15380935;32618671;245422;1752178;11050357;23591825;40170538;439023;2430756;11721112;29590492;59875207;
282578;613555;2910845;6622490;12429024;155467;1118578;6765734;15019157;30545293;238089;1882223;9180846;22165248;50342851;473733;2534889;12848979;30018759;66925475;
54267;845289;3337156;7156357;14488224;182845;1334178;7639379;14319068;31355382;344667;2031823;8974045;22849203;42680005;306533;2383333;12373780;29964492;65916897;
59156;701556;2685467;6660623;12358135;756800;1319511;5875957;14663246;34457382;369600;1707689;9240490;23814758;43060361;459067;2436134;13151601;32573693;57718230;
79688;715733;3657379;6909956;13346179;169155;1615289;5704845;14082935;43341472;173555;1768800;8622046;22393558;46302673;281600;2406312;11885868;33093871;67228097;
59155;623334;2767112;6762801;14417336;148623;1089244;6450401;17685069;36924805;222445;1710134;9125113;24868803;42420894;415555;3743423;12510180;30299870;62941519;
99244;932800;2744133;6696312;12205112;140311;1152800;6213289;13849246;37076361;325111;1738978;9374934;22249825;44821828;323645;2523155;13027424;30216760;59035296;
68445;722578;3749778;6988667;12592802;169645;1130311;5306889;15394135;45201694;271334;1776622;9405734;23739958;44267917;428756;2694267;14144046;30049559;62271742;
70888;781244;3428579;6645956;13039646;194578;1117600;5901378;14426135;39241160;337822;1766355;8882623;21667558;41688050;322667;2574001;12470580;33262538;65243208;
74311;717200;3088311;6818534;12742891;214622;1162578;6679201;14178758;38653027;170134;2429778;9169112;22474225;46139873;408711;2903511;13580846;34626049;62314763;
110000;914222;3483334;6270489;15170713;121733;1090711;5581156;16321558;37637604;223911;2389690;10598134;22119292;47775695;375467;2571067;11734312;30536981;61762807;
92889;841378;2798401;6955423;12566891;190666;1092667;5674045;14923824;33950893;366178;1687645;8759912;25448625;42854049;319734;2436623;12128357;31741115;66683964;
77733;768533;3603600;6401512;15663513;213645;1166000;6232356;14094668;33508937;225377;2108578;10242223;24408270;42471250;309467;2538800;11965068;30890937;70887920;
62577;795911;3009601;6369246;13209779;131511;1124934;5561112;14427602;33541204;260577;1797156;12916446;22387203;44634584;280133;3011067;12653912;35691338;67227609;
108533;573956;3017423;10159601;12785913;131022;1114666;6152668;15272402;35119337;246889;2323689;8986757;22285514;46459606;1640222;2668355;12242269;30786315;70681120;
73822;773911;3006668;10418713;12507735;209734;1314623;5794800;14609468;33636538;180400;2330534;9685379;26516848;41721783;314355;2399467;12000269;33854582;76472988;
106578;646800;3060445;6947601;12926713;166222;1209511;6208890;16314224;39119916;305556;1778089;9124623;21981425;46124228;379378;2548578;11859958;34092671;80420766;
80667;607200;2943112;7950312;12527291;199956;1427556;5516623;14319069;45687650;343200;1943334;8567290;22416537;46465961;357378;3033067;12724313;33029338;73802676;
73333;649734;2666400;6629335;12964846;125644;1185556;5908712;17028491;33390137;256666;1904712;9156890;23827470;42795384;332445;2394578;14771779;31443871;60909696;
