V10|D25;V25|D25;V50|D25;V75|D25;V100|D25;V10|D50;V25|D50;V50|D50;V75|D50;V100|D50;V10|D75;V25|D75;V50|D75;V75|D75;V100|D75;V10|D99;V25|D99;V50|D99;V75|D99;V100|D99;
72356;400400;2064579;3831912;8210401;105600;692266;3181689;9031734;19433336;149600;1188489;5190534;12140579;20972358;176489;1315600;6609290;23738003;32277426;
62578;400889;2281156;3734134;7926846;108534;648756;3401201;12388446;15158002;174534;1395289;4813601;11936223;23689114;233689;1230045;6180046;17123824;31058626;
76756;469822;1884178;3960978;9140268;125155;993423;3563023;7062978;22194091;200934;1217822;4817023;15704580;26202003;198978;1413378;8646490;16260447;31849648;
84578;398445;3979556;3667644;7743024;94356;910311;3870534;8052001;18085469;112933;1219289;5743956;18475114;23015914;185289;1677378;7704890;17298358;35018626;
59644;523600;4726090;3574267;7176401;125155;677111;3633912;8170801;18882358;146178;1272578;4785245;13560312;22690314;152533;1293111;7615912;16783069;33133471;
760711;544622;1939422;3528801;6923157;95822;726000;2945556;9084046;17499780;169155;905911;4401467;11938668;22307025;265955;1570800;8131689;16252136;34799604;
129556;550000;1558578;4346711;7282979;103644;1323422;3120089;7522046;16033602;174044;1134222;5711201;12162579;22254714;223911;1849467;7400312;20240980;35928449;
67467;487911;1846534;3966356;6936845;109022;900533;3229600;7407646;17281735;148622;1648045;7063467;11692757;22181381;255200;1968267;6451867;16403202;30397159;
60134;564178;1760978;3851957;8375157;91423;809112;2933333;8597601;15347202;153511;1129822;4740268;18316714;22924003;246400;1739955;5951245;16042402;30460715;
63556;433644;1660756;4761289;6608312;86045;917645;3492623;9826179;17889424;128089;940623;5065378;12899335;28713426;154000;1686178;6285156;16073691;32161071;
81156;422400;1552711;4562801;6992090;107555;780267;3413423;9803690;16653025;134444;1084845;5105956;12111735;23002714;184800;1502845;6271957;22347603;31852582;
61111;311422;1914489;4985201;7228712;97289;806178;3029156;8935912;15893780;132489;1385511;5475556;12926713;23976092;197511;1261823;6608312;16467736;31071337;
74800;363734;1667111;4325690;7074712;152533;725512;2928444;10899290;15952447;142756;899556;4621956;12198757;23078492;211689;1174800;6383912;17580936;32390360;
64044;364711;2204400;3631956;7930757;114400;872178;3524400;8607867;15002535;145689;1033023;4422978;21702758;21870447;182845;1476444;6716356;15458669;29606137;
60133;336355;1816712;3495067;7314268;91422;775377;3305378;7438934;15796491;156444;908355;4811156;11910312;21942314;247378;1684711;7337734;17801424;30637693;
65022;439022;1768800;3652001;7255112;97777;961155;2920623;9531868;17314980;150578;1202667;4485556;13007868;26229870;246889;1523867;7506401;19853291;29683871;
88000;430222;2185822;4554001;7101112;412134;628223;3075600;8543334;24453736;142756;1043778;4519290;11217557;28656715;184800;1598667;6079823;19305247;31394004;
86044;420445;1855333;4617067;8384935;101689;629200;2952889;9135379;16317646;148133;910800;5548889;11416046;22299202;201422;1708667;8121423;25105425;31418449;
91422;392089;1580578;3619245;11545601;110978;703511;3113734;7531823;16486314;126133;1045245;5390000;13167246;29885292;229778;1519467;6064178;17780891;32655826;
84089;340267;1422666;4526134;9352446;103155;591066;3089290;7714668;16908224;151556;1171378;4638579;11738713;24824314;183334;1387956;6046090;16502446;41646005;
133466;392578;1719423;3683290;8850846;94844;987556;3192444;7883823;17442091;137378;1741423;5378268;12468623;22377425;238089;1836756;6683601;15864446;28425959;
78223;440978;1650000;3687689;7801201;97778;743600;3078045;8272490;19389825;151066;1346400;4585289;12475469;23810359;247378;1393823;7510801;17625425;30189871;
154977;543645;1904223;3682311;7508357;76756;986578;3489690;7766001;15535913;157422;1365955;4659601;12007113;24611648;235644;1836267;6460667;17930980;30195249;
66000;349066;2485022;4615112;10761424;102666;664400;4285601;8966223;16148980;198978;1478889;4635645;11620890;23122492;184311;1582533;6283690;16105957;30983826;
67467;362756;1501867;4066089;7709779;78711;906400;4846356;9234623;16611958;137867;1060400;5321067;13631201;23996137;151066;1556133;6144356;17310580;35376982;
61600;395512;1561511;3660800;7826134;78711;657555;3799156;7531335;17777958;172578;1166489;4968089;12177246;22659514;223422;1503822;7111379;16027735;29633515;
63555;650223;1564934;5152401;6956890;117333;838444;2950933;7333334;16133825;158400;1157689;4583334;12441246;24892759;183822;1417778;8244134;16059025;29044892;
59156;341733;1556133;4978845;7961556;119289;988533;3103956;7456046;17380002;126133;996356;4488001;12620180;24420981;176489;1494534;7096223;16285380;30313070;
78222;391600;2344222;3699912;7068845;104133;607200;3177290;7713201;15404402;196533;973378;6160978;12775646;22272314;156445;1924756;6150711;19393247;30582448;
58178;393067;2137911;5423245;6726623;90444;665866;2949467;8153690;15885469;140800;967511;4906490;13023024;21963825;222445;1462267;6190801;15716313;30850848;
97289;534844;1788845;3788890;7029734;100711;699600;3585022;9282046;16580180;175022;1225644;4727556;12068713;22499159;246889;1231022;6781868;16009158;36476983;
57200;483022;1775644;4192711;7162223;111467;713288;4978845;8747201;17163425;201422;1085333;4587734;12396757;26727070;209733;1281867;6110134;19048091;32744804;
56711;375467;1815245;4698712;7568001;110489;740178;3127912;8148801;15831691;429733;1195333;4566223;13657602;22128092;239555;1232978;7184712;19013869;30128271;
242978;396978;1826000;3793289;8055423;135911;1125422;2973423;8237779;25878359;124667;1019333;4490445;12856313;22424848;191644;1478401;5924845;16176358;31220937;
52800;501111;1739467;3891556;7817334;105600;660489;3434934;8188401;26744181;141777;892222;4598490;12903735;24857070;277200;2171155;7068846;16022847;33483516;
77733;731867;1965334;3589912;7235557;116355;610623;3090756;7531823;19649425;157911;931334;4690889;11672223;23036447;189689;2109067;7942490;16233069;30156626;
59645;527511;2305600;4327156;6874268;112445;761200;2843867;8761379;17734447;182845;1002711;4451823;13301691;22827202;222445;1352267;6321823;17534491;36092227;
57200;925467;1630445;3390445;6930490;121244;684934;3465245;8447024;21380580;144711;1022756;5099601;12399201;24816492;190666;2160889;6503201;22464937;32328270;
57200;553912;1535600;4940223;7386134;124178;608666;3599689;7625201;18339691;174045;1358622;5004268;11961157;24298758;230756;1282844;6185423;24704048;34297515;
111956;860445;2660533;3997645;7391512;109511;753378;3006178;7899957;24126670;148622;1186045;5040445;11582757;23149381;207777;1330267;6224534;16237469;31696138;
58667;500623;1649512;4862001;7070312;151067;682000;3167023;7806090;17272446;179912;967022;4617067;14924802;22021514;183822;1594267;6354578;15939246;39744227;
66489;935733;1707200;3512667;7126534;103645;767555;3159689;7722490;17663069;157911;1929644;4985200;12590357;22125647;298711;1729200;6479245;16311291;36896938;
66978;417511;1880267;3677912;8783868;96312;760223;2929423;7535245;16030669;147645;1167955;6100845;11582757;22678092;218533;1302889;6386357;22572981;33686894;
92400;421423;1621645;4560356;7171023;76267;639467;3508267;7807557;17379513;132978;1310712;4586756;11737734;24753914;342222;1415334;6188357;17430847;33702538;
58178;436089;1691067;5044845;6869868;123200;603778;2986134;7739112;19299869;119289;1414844;4638090;14675958;25063381;203866;1505289;6251423;16261913;38713161;
83111;424355;1561023;3916000;7167112;102666;880978;3514134;8073023;18375380;182356;926933;4766178;12080446;22975825;210222;1582045;6274401;16984491;44982672;
67955;404312;1693511;4151645;6808756;131511;723066;3043334;7539645;26834137;190667;1451512;4595556;11404802;27201292;239555;1596712;6635690;18560669;35079248;
58667;385245;1511645;3744890;7001868;105111;638489;3927245;8702712;19791692;131022;1046223;4594090;11904446;22076270;242978;1700845;7830534;16477513;32610360;
71377;526534;1656845;3663734;7458001;89956;948934;3038934;7430623;17906047;190177;1291644;4911378;11264001;21404536;169645;1413378;8217246;16135291;37121827;
89467;319244;1669556;3908179;8146846;115378;796400;3166045;9107512;18241913;164267;1050622;4563778;11608179;26830714;253733;1564934;7024846;17817558;44441472;
60622;481067;1774667;4016223;7757690;98267;651689;2986133;7372934;20096269;136889;1302400;6623957;11676624;26268003;165733;1400666;6194712;18119203;34259382;
59645;522133;1626045;3816756;7252668;94356;698623;3311245;7579245;18321602;136889;1179200;4570133;17442091;25189514;168667;1362534;7965468;17002091;41603472;
55245;520178;1536578;3505334;7591468;88000;726489;3102979;7647201;20126581;141289;1183601;4748579;11455157;25461337;183333;1501378;7188623;16420313;36829960;
57689;478622;1643645;4270445;7505424;131022;796889;2940178;7479512;14077068;146666;1054045;6162445;12352757;27573337;238577;1241289;6221601;16012580;33848715;
120267;656578;1538533;3696978;7160267;92889;1104400;3072178;7602712;17258758;141289;1280400;5390978;13814046;27602670;268400;1331733;6328179;15787691;41492495;
59644;427778;1706712;3445690;7109423;104622;858978;3473556;8701735;16430580;122711;1098045;5294178;13678135;28005515;200933;1530222;6607334;16040936;33106582;
63067;413600;1586445;4168267;7301556;122711;809112;3018889;7437468;15491913;229778;1283822;5272667;11531913;24998359;165245;1518978;6597068;15763736;37600449;
61111;504534;1508222;3592844;7080090;124177;963112;4094445;9158357;14948269;148623;932311;4919690;11396001;31103115;288444;1484756;6894801;15238179;36249160;
77244;404311;2030356;3682800;6963245;95333;706933;3004711;7860357;15808713;205333;1026177;4691867;12406535;23167469;189689;1238845;7699512;20174491;35865382;
61111;351022;1668578;3537601;6952001;87511;747511;3021334;8802446;15685513;119778;1145955;4644445;11979735;25585025;195556;1411422;6620534;14782047;34870983;
68445;490845;1628489;3863200;7684356;103645;777822;3057511;9818356;16535202;122222;1301422;4440090;11977779;29540626;186755;1552223;6274890;17522758;34893960;
52800;405289;1788845;3609467;8645023;130044;676133;4634179;7675067;15777913;151556;1046712;5156801;11753379;25628047;247867;1218800;7019957;14793780;33742627;
105600;401867;2202934;5188089;7019468;109022;667822;2825778;7875512;21405513;152044;1196311;4623423;14694046;32717426;192623;1277956;7226268;15290980;36147960;
90933;536800;1615289;3835334;7513734;102667;900045;3004712;7925379;16621736;282578;1401645;4448400;11857512;25284848;246400;1520445;6378046;16307380;38666716;
60623;434622;1456889;3808934;7575334;190177;686889;3777645;7483423;14945824;146667;1235912;4678667;12970713;23436358;190666;1290178;6440134;15289024;33018582;
60622;626266;1589866;3674489;7358756;176000;617955;3930667;7126535;15806268;132489;883911;4554001;12077512;28316448;187245;1427556;6434756;15120358;34972671;
71378;325600;1548800;3837778;6981334;123200;722578;3066312;7272224;14743913;160355;1003689;4502668;14957068;26363825;184311;1826000;6564312;15520757;38462849;
161334;639467;1947245;3913067;6965201;108533;652667;3015467;7980134;14938980;191155;1123956;4640045;12661735;47765428;243955;1298489;6430356;15402935;52012406;
75778;392578;1931600;3696001;7329912;95822;2283112;3042845;8225068;16140180;173556;1016400;4964178;11987557;30562404;189689;1365467;7678979;17223068;36916494;
52800;462978;1587912;3672045;7359734;92889;1003200;3057512;9485912;15128180;133955;924978;5663778;12505780;26201515;165734;1281866;7198401;15584802;35862938;
71377;400400;1819156;3757111;7062490;295289;681023;3080978;9208223;19756491;153511;1419734;4893289;12359112;29305959;209245;1400667;7831023;15525158;42666805;
